author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;district;street;house_number;underground
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/295325907/;Санкт-Петербург;rent;flat;4;6;2;129.0;930;120000;0;Василеостровский;3-я Васильевского острова линия;52;Спортивная
Эрмитаж Галерея Недвижимости;real_estate_agent;https://spb.cian.ru/rent/flat/295112382/;Санкт-Петербург;rent;flat;4;8;1;25.0;800;20000;0;Красносельский;проспект Буденного;21к1;Проспект Ветеранов
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/287545260/;Санкт-Петербург;rent;flat;8;9;3;125.0;1200;150000;0;Петроградский; Куйбышева;24;Горьковская
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/290930566/;Санкт-Петербург;rent;flat;2;8;3;134.0;1380;185000;0;Петроградский;Каменноостровский проспект;64К2;Петроградская
Адвекс;real_estate_agent;https://spb.cian.ru/rent/flat/285233192/;Санкт-Петербург;rent;flat;13;14;1;36.8;706;26000;0;Приморский;аллея Арцеуловская;19;Комендантский проспект
Active Group - Арендафон. Штаб Квартир;real_estate_agent;https://spb.cian.ru/rent/flat/295437506/;Санкт-Петербург;rent;flat;5;9;3;206.0;1213;250000;0;Петроградский;Крестовский проспект;15;Крестовский остров
Stanley Realty;real_estate_agent;https://spb.cian.ru/rent/flat/293982556/;Санкт-Петербург;rent;flat;3;5;1;42.0;1666;70000;0;Центральный;площадь Островского;9;Гостиный двор
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/rent/flat/294490439/;Санкт-Петербург;rent;flat;8;25;1;26.0;884;23000;0;Приморский;шоссе Суздальское;22к2;Озерки
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295379876/;Санкт-Петербург;rent;flat;5;7;3;206.0;1213;250000;0;Петроградский;Крестовский проспект;15;Крестовский остров
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/294889514/;Санкт-Петербург;rent;flat;3;26;-1;21.0;1666;35000;0;Московский; Орджоникидзе;44а;Московская
ID 2761354;homeowner;https://spb.cian.ru/rent/flat/274441574/;Санкт-Петербург;rent;flat;7;21;2;54.0;833;45000;0;Московский;проспект Космонавтов;65к6;Звездная
Stanley Realty;real_estate_agent;https://spb.cian.ru/rent/flat/288814964/;Санкт-Петербург;rent;flat;1;10;4;115.0;2347;270000;0;Петроградский;Вязовая ;10;Крестовский остров
NEXT Level;real_estate_agent;https://spb.cian.ru/rent/flat/294905167/;Санкт-Петербург;rent;flat;1;3;3;175.0;714;125000;0;Адмиралтейский;Английская набережная;20;Адмиралтейская
Петр Кузнецов;realtor;https://spb.cian.ru/rent/flat/294413948/;Санкт-Петербург;rent;flat;5;14;1;26.0;1000;26000;0;Невский; Крыленко;1к1с2;Улица Дыбенко
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295741638/;Санкт-Петербург;rent;flat;6;16;2;72.4;994;72000;0;Василеостровский; Беринга;27к2;Приморская
Golden Home;real_estate_agent;https://spb.cian.ru/rent/flat/295779619/;Санкт-Петербург;rent;flat;2;23;2;66.2;981;65000;0;Московский;Дунайский проспект;7к7;Звездная
Самолет Плюс Центр;real_estate_agent;https://spb.cian.ru/rent/flat/294562674/;Санкт-Петербург;rent;flat;14;19;3;83.0;602;50000;0;Приморский;проспект Королева;62;Комендантский проспект
Soft House Estate;real_estate_agent;https://spb.cian.ru/rent/flat/295289297/;Санкт-Петербург;rent;flat;3;7;5;215.0;837;180000;0;Петроградский;Каменноостровский проспект;54/31;Петроградская
BE HOME;real_estate_agent;https://spb.cian.ru/rent/flat/292593141/;Санкт-Петербург;rent;flat;3;4;3;100.0;1450;145000;0;Центральный;Невский проспект;88;Маяковская
Петербургская Недвижимость;real_estate_agent;https://spb.cian.ru/rent/flat/294305501/;Санкт-Петербург;rent;flat;8;25;1;25.27;712;18000;0;Приморский;аллея Арцеуловская;17;Комендантский проспект
NEXT Level;real_estate_agent;https://spb.cian.ru/rent/flat/290702955/;Санкт-Петербург;rent;flat;3;6;4;180.0;805;145000;0;Петроградский;Кронверкская ;29/37Б;Петроградская
